                                                                               p1                                                                                p2      rg      se        z            p  h2_obs  h2_obs_se  h2_int  h2_int_se  gcov_int  gcov_int_se
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par22.sumstats.gz  0.7403  0.0621  11.9167  9.6889e-33  0.1845     0.0249  1.0110     0.0062    0.1483       0.0037
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par23.sumstats.gz  0.7288  0.1576   4.6254  3.7382e-06  0.0484     0.0250  1.0023     0.0062    0.1736       0.0036
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par24.sumstats.gz  0.7940  0.0616  12.8871  5.3238e-38  0.1396     0.0273  0.9930     0.0064    0.3486       0.0045
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par25.sumstats.gz  1.0824  0.1640   6.5996  4.1227e-11  0.0502     0.0231  0.9947     0.0061    0.4111       0.0044
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par26.sumstats.gz  1.5079  1.5219   0.9908  3.2179e-01  0.0097     0.0202  1.0003     0.0054    0.3514       0.0038
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par27.sumstats.gz  1.3695  1.0066   1.3604  1.7369e-01  0.0141     0.0240  1.0064     0.0061    0.2868       0.0041
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par28.sumstats.gz  0.8413  0.0797  10.5614  4.4969e-26  0.0992     0.0248  0.9946     0.0064    0.3191       0.0046
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par29.sumstats.gz  0.9143  0.1310   6.9775  3.0045e-12  0.0650     0.0232  1.0020     0.0065    0.3374       0.0045
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par30.sumstats.gz  1.1699  0.6050   1.9337  5.3151e-02  0.0181     0.0224  0.9977     0.0060    0.2728       0.0044
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par31.sumstats.gz  1.1877  0.4133   2.8739  4.0541e-03  0.0248     0.0204  1.0130     0.0061    0.2445       0.0041
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par05.sumstats.gz  0.7479  0.0506  14.7732   2.1807e-49  0.2173     0.0318  0.9980     0.0065    0.2190       0.0040
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par06.sumstats.gz  0.7025  0.0745   9.4306   4.0787e-21  0.1026     0.0229  0.9931     0.0057    0.1657       0.0034
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par07.sumstats.gz  0.6764  0.0642  10.5438   5.4241e-26  0.1397     0.0248  0.9943     0.0063    0.2089       0.0039
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par08.sumstats.gz  0.8824  0.0410  21.5221  9.6616e-103  0.1825     0.0248  0.9941     0.0059    0.5436       0.0049
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par09.sumstats.gz  0.9751  0.0712  13.6906   1.1557e-42  0.0813     0.0242  0.9995     0.0062    0.5653       0.0056
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par10.sumstats.gz  0.7155  0.0553  12.9440   2.5392e-38  0.1719     0.0295  0.9954     0.0065    0.2172       0.0041
