                                                                               p1                                             p2       rg      se        z       p h2_obs h2_obs_se h2_int h2_int_se gcov_int gcov_int_se
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par47.sumstats.gz -0.8777  0.2152  -4.078   4.54e-05  244.8     159.5  347.5     40.95   -7.921       1.515
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par48.sumstats.gz -0.6393  0.1656   -3.86  0.0001133    585     201.9    508     43.83   -10.35       1.724
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par49.sumstats.gz -0.3861  0.1871  -2.064    0.03904  436.7        85  325.9     25.46    -8.92       1.383
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par50.sumstats.gz -0.5353  0.1591  -3.365  0.0007645  515.2     139.9  497.1      32.3   -11.24       1.705
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par51.sumstats.gz -0.2868  0.1456   -1.97    0.04879   1076       444  529.5     71.65   -12.39       1.855
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par52.sumstats.gz -0.2281  0.1384  -1.648     0.0994  593.1     80.98    201     16.79   -8.453       1.145
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par53.sumstats.gz -0.1304  0.1054  -1.237     0.2162   3403      1392  498.3     208.6   -14.36       2.392
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par54.sumstats.gz -0.2406  0.1318  -1.825    0.06799   1846     770.4  708.7     148.4    -14.2       2.167
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par55.sumstats.gz -0.2815  0.1493  -1.885    0.05937  516.4     193.3  317.3     38.55   -9.383       1.306
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par56.sumstats.gz -0.1383  0.3299 -0.4193      0.675  196.4     168.4  481.6     73.53   -11.27       1.601
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par57.sumstats.gz -0.1798  0.2419 -0.7433     0.4573  436.6       149  677.4     64.19   -13.59       1.846
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par58.sumstats.gz -0.4347  0.2453  -1.772    0.07639  172.7     89.54  294.5     32.89   -8.566       1.488
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/ldsc/face/munged/par59.sumstats.gz -0.2563  0.1883  -1.361     0.1734  344.4     109.6  352.9     35.28   -9.488       1.362
