                                                                               p1                                                                                p2      rg      se        z            p  h2_obs  h2_obs_se  h2_int  h2_int_se  gcov_int  gcov_int_se
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par22.sumstats.gz  0.7400  0.0619  11.9530  6.2614e-33  0.1848     0.0249  1.0109     0.0061    0.1484       0.0037
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par23.sumstats.gz  0.7277  0.1569   4.6367  3.5405e-06  0.0487     0.0251  1.0022     0.0063    0.1737       0.0036
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par24.sumstats.gz  0.7938  0.0615  12.8985  4.5873e-38  0.1397     0.0273  0.9930     0.0064    0.3487       0.0045
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par25.sumstats.gz  1.0813  0.1630   6.6333  3.2821e-11  0.0504     0.0231  0.9946     0.0061    0.4111       0.0044
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par26.sumstats.gz  1.5135  1.5373   0.9845  3.2486e-01  0.0097     0.0202  1.0004     0.0054    0.3514       0.0038
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par27.sumstats.gz  1.3705  1.0068   1.3612  1.7345e-01  0.0141     0.0240  1.0064     0.0061    0.2869       0.0041
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par28.sumstats.gz  0.8412  0.0790  10.6456  1.8284e-26  0.0995     0.0247  0.9945     0.0064    0.3191       0.0046
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par29.sumstats.gz  0.9136  0.1306   6.9926  2.6984e-12  0.0652     0.0233  1.0019     0.0065    0.3375       0.0045
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par30.sumstats.gz  1.1682  0.6019   1.9409  5.2265e-02  0.0181     0.0224  0.9977     0.0061    0.2729       0.0044
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par31.sumstats.gz  1.1838  0.4066   2.9115  3.5974e-03  0.0251     0.0203  1.0129     0.0061    0.2446       0.0041
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par05.sumstats.gz  0.7478  0.0506  14.7818   1.9187e-49  0.2174     0.0319  0.9980     0.0066    0.2192       0.0040
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par06.sumstats.gz  0.7024  0.0743   9.4574   3.1577e-21  0.1028     0.0229  0.9930     0.0057    0.1658       0.0034
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par07.sumstats.gz  0.6766  0.0640  10.5735   3.9566e-26  0.1400     0.0248  0.9942     0.0063    0.2089       0.0039
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par08.sumstats.gz  0.8821  0.0410  21.5065  1.3545e-102  0.1826     0.0249  0.9940     0.0059    0.5436       0.0049
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par09.sumstats.gz  0.9754  0.0714  13.6674   1.5905e-42  0.0812     0.0242  0.9995     0.0062    0.5654       0.0056
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par04.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par10.sumstats.gz  0.7158  0.0552  12.9632   1.9780e-38  0.1718     0.0295  0.9954     0.0065    0.2173       0.0041
