Name	Coefficient	Coefficient_std_error	Coefficient_P_value
NHLF_Lung_Fibroblast_Primary_Cells__H3K36me3	4.95336020095e-08	1.08349396157e-07	0.323776059702
Ganglion_Eminence_derived_primary_cultured_neurospheres__H3K4me3	6.84309582238e-08	1.50048751445e-07	0.324174076304
Thymus__H3K36me3	3.20097683623e-08	7.18942996593e-08	0.328075420906
Esoph-Mucosa_ENTEX__H3K27ac	2.57743311804e-08	5.86329414804e-08	0.330117805665
Heart-Atrial_ENTEX__H3K4me3	9.50136403131e-08	2.17292902905e-07	0.330961157438
Skeletal_Muscle_Male__H3K4me3	5.95623166084e-08	1.3745231981e-07	0.332387251462
Pancreas__H3K27ac	5.18690069407e-08	1.20872990131e-07	0.333917980948
Liver__H3K27ac	1.78842005641e-08	4.27661961018e-08	0.337905769888
Fetal_Muscle_Leg__H3K4me1	1.9305901951e-08	4.68955020323e-08	0.340287292585
NHEK-Epidermal_Keratinocyte_Primary_Cells__H3K27ac	2.27570453499e-08	5.5400287463e-08	0.340618814347
Breast_variant_Human_Mammary_Epithelial_Cells_(vHMEC)__H3K4me3	8.71964166415e-08	2.14034615784e-07	0.3418593193
Brain_Hippocampus_Middle__H3K4me3	4.17917290569e-08	1.06823757687e-07	0.347816833702
NHEK-Epidermal_Keratinocyte_Primary_Cells__H3K36me3	1.91504967694e-08	4.99424409624e-08	0.350692565148
Foreskin_Keratinocyte_Primary_Cells_skin03__H3K27ac	2.28705389942e-08	5.98304253384e-08	0.3511357444
Rectal_Smooth_Muscle__H3K27ac	1.83411403814e-08	4.89005725493e-08	0.353804183773
Liver__H3K4me1	1.35440670618e-08	3.62875257648e-08	0.354483776318
Left_Ventricle__H3K4me3	9.31542304577e-08	2.60391566612e-07	0.36026643089
Brain_Anterior_Caudate__H3K27ac	1.42966772531e-08	4.33444917666e-08	0.370761040158
Heart-Atrial_ENTEX__H3K36me3	1.95078451277e-08	5.94275055512e-08	0.371356447596
Duodenum_Mucosa__H3K36me3	1.73167098407e-08	5.38748974898e-08	0.373944374618
Fetal_Kidney__H3K4me1	4.66589557032e-08	1.4654855903e-07	0.375096217538
Fetal_Intestine_Small__H3K36me3	1.01115815406e-08	3.33017741983e-08	0.380703022305
Sigmoid_Colon__H3K36me3	2.35446576514e-08	7.91594176086e-08	0.383067809527
Skeletal_Muscle_Male__H3K36me3	2.11277522652e-08	7.63368676479e-08	0.390978372124
Duodenum_Smooth_Muscle__H3K27ac	2.62838292769e-08	9.71963898396e-08	0.393418650711
Fetal_Thymus__H3K27ac	1.52053212479e-08	5.65933369366e-08	0.394089172088
Spleen__H3K36me3	1.58052599929e-08	6.43222333275e-08	0.402949489576
