Name	Coefficient	Coefficient_std_error	Coefficient_P_value	partition
Fetal_Brain_Male__H3K36me3	3.1112489061e-08	2.57016441573e-07	0.451824716301	1
Fetal_Thymus__H3K27ac	7.29954953925e-09	6.18676610961e-08	0.453039172542	1
Primary_neutrophils_from_peripheral_blood__H3K36me3	3.73246227878e-09	3.23057094032e-08	0.454010268489	1
Colon_Smooth_Muscle__H3K27ac	6.04459920058e-09	5.7466808589e-08	0.458114831379	1
Primary_hematopoietic_stem_cells_G-CSF-mobilized_Female__H3K36me3	4.9882667836e-09	4.97707350662e-08	0.460082890386	1
Adipose_Nuclei__H3K4me1	7.0331393572e-09	7.2281346521e-08	0.461243175239	1
Placenta_Amnion__H3K4me3	2.95334184506e-08	3.12030497309e-07	0.462296758176	1
Uterus_ENTEX__H3K4me3	2.81328100781e-08	3.04329242024e-07	0.46317342734	1
Primary_T_killer_naive_cells_from_peripheral_blood__H3K9ac	1.73568068148e-08	2.16793448041e-07	0.468094174831	1
Stomach_Mucosa__H3K36me3	1.21747071176e-08	1.67834305896e-07	0.47108607138	1
Foreskin_Fibroblast_Primary_Cells_skin02__H3K36me3	4.66082578115e-09	6.63431171984e-08	0.471996008719	1
Small_Intestine__H3K27ac	5.75508182711e-09	1.07365874659e-07	0.478625922943	1
Foreskin_Melanocyte_Primary_Cells_skin03__H3K36me3	2.26993816847e-09	4.31323363147e-08	0.479014434591	1
Psoas_Muscle__H3K4me1	3.37698868454e-09	1.00775987192e-07	0.48663400368	1
Fetal_Intestine_Small__H3K4me3	3.00187816253e-09	2.03819635315e-07	0.494124546326	1
Esoph-Mucosa_ENTEX__H3K27ac	7.46720146412e-10	7.00979143306e-08	0.4957503357	1
Stomach_Mucosa__H3K9ac	9.1747811328e-10	1.43039788312e-07	0.497441143438	1
Fetal_Muscle_Trunk__H3K4me1	-4.70051040162e-10	5.62360246086e-08	0.503334536032	1
Stomach_Mucosa__H3K4me1	-4.96259746786e-10	4.75491707014e-08	0.50416359314	1
Primary_hematopoietic_stem_cells_short_term_culture__H3K36me3	-6.47297609789e-10	5.79012291684e-08	0.504459819065	1
Foreskin_Fibroblast_Primary_Cells_skin01__H3K36me3	-8.72820009529e-10	5.17294928355e-08	0.506730943314	1
Fetal_Kidney__DNase	-2.70525812431e-09	1.50703240997e-07	0.507160986581	1
Fetal_Adrenal_Gland__H3K27ac	-1.04848717942e-09	5.65767397389e-08	0.507392824805	1
Testis_ENTEX__H3K27ac	-1.33150569887e-09	4.16247169807e-08	0.512759326219	1
Ovary__H3K36me3	-2.99059173961e-09	8.50831717463e-08	0.514019551042	1
Aorta_ENTEX__H3K36me3	-2.750989749e-09	5.72930485697e-08	0.519148301221	1
Heart-Atrial_ENTEX__H3K4me1	-1.34364517362e-08	2.53132142561e-07	0.521166227662	1
Spleen__H3K4me3	-8.45583293698e-09	1.35675046967e-07	0.524847654344	1
Fetal_Intestine_Large__H3K4me3	-1.58097772225e-08	1.99836519004e-07	0.531528848584	1
Sigmoid_Colon__H3K4me3	-2.67429119947e-08	2.88708804907e-07	0.536900991178	1
Ovary__DNase	-1.31264811561e-08	1.28108583424e-07	0.540805693074	1
Primary_hematopoietic_stem_cells__H3K36me3	-1.1735726382e-08	1.13685817661e-07	0.541109573292	1
Rectal_Mucosa_Donor_31__H3K36me3	-9.26455931686e-09	8.47421258275e-08	0.543528232409	1
liver_ENTEX__H3K4me1	-2.38091276438e-08	2.01657214534e-07	0.546992842922	1
Fetal_Intestine_Small__H3K4me1	-6.44248173669e-09	5.43087639875e-08	0.547214534017	1
Fetal_Thymus__H3K4me1	-5.1994896329e-09	4.03620110415e-08	0.551250502927	1
Primary_T_killer_memory_cells_from_peripheral_blood__H3K27ac	-2.1583791889e-08	1.49558333592e-07	0.557374874727	1
Skeletal_Muscle_Female__H3K27ac	-8.55976023272e-09	5.39130705978e-08	0.56307482583	1
Colon_Smooth_Muscle__H3K36me3	-1.78187646438e-08	1.05345144879e-07	0.567159302761	1
Breast_Myoepithelial_Primary_Cells__H3K36me3	-9.02936099983e-09	4.97459127728e-08	0.572016202838	1
Primary_neutrophils_from_peripheral_blood__H3K4me1	-8.01503624852e-09	4.05694162777e-08	0.5783067063	1
Stomach_Smooth_Muscle__H3K36me3	-1.9820110273e-08	9.84632377708e-08	0.579765856712	1
Stomach_Smooth_Muscle__H3K9ac	-3.9554444526e-08	1.938022476e-07	0.580861124865	1
Colon-TV_ENTEX__H3K4me1	-3.50416552467e-08	1.61977660736e-07	0.585637210084	1
Lung_ENTEX__H3K36me3	-1.35736168724e-08	6.13425422775e-08	0.587561133528	1
Adipose_Nuclei__H3K9ac	-3.89665473021e-08	1.65868163714e-07	0.592866454677	1
Right_Ventricle__H3K27ac	-1.79619289442e-08	7.48585033477e-08	0.59481358039	1
Rectal_Mucosa_Donor_29__H3K36me3	-2.24152944223e-08	9.12799842104e-08	0.59699103769	1
Aorta__H3K36me3	-5.39648726843e-08	2.13741259757e-07	0.599664023255	1
Mammary_ENTEX__H3K27ac	-1.66048460372e-08	6.1894287807e-08	0.605757145703	1
HMEC_Mammary_Epithelial_Primary_Cells__H3K4me3	-6.31169751459e-08	2.34009321742e-07	0.606312132161	1
Adrenal_gland_ENTEX__H3K27ac	-1.46980174164e-08	5.44731154572e-08	0.606351207098	1
Mammary_ENTEX__H3K36me3	-1.56920405469e-08	5.69240988187e-08	0.608597706885	1
Pancreatic_Islets__H3K4me3	-8.25084572736e-08	2.95311726007e-07	0.610028935095	1
Fetal_Adrenal_Gland__H3K4me1	-1.86517790898e-08	6.3552030886e-08	0.615425538914	1
Foreskin_Keratinocyte_Primary_Cells_skin02__H3K4me3	-5.70856065621e-08	1.94189503716e-07	0.615609031686	1
Prostate_ENTEX__H3K4me3	-9.76535177628e-08	3.20949824066e-07	0.619536663269	1
Fetal_Intestine_Large__H3K27ac	-1.77663558079e-08	5.77475249682e-08	0.620827837916	1
Small_Intestine__H3K36me3	-6.09916632877e-08	1.82274359384e-07	0.63104208796	1
Fetal_Intestine_Large__H3K4me1	-1.81958302689e-08	5.20276035969e-08	0.636730892845	1
Vagina_ENTEX__H3K4me3	-8.4983121218e-08	2.42058404309e-07	0.637237781388	1
Foreskin_Keratinocyte_Primary_Cells_skin03__H3K36me3	-1.34084362689e-08	3.81112437561e-08	0.637514733457	1
Primary_hematopoietic_stem_cells_G-CSF-mobilized_Female__H3K4me3	-6.88346964987e-08	1.90285456315e-07	0.641228474402	1
Spleen_ENTEX__H3K4me3	-3.55112428976e-08	9.79330102194e-08	0.64155094234	1
Placenta__H3K4me3	-8.47844726311e-08	2.32848832208e-07	0.642115086519	1
Stomach_ENTEX__H3K27ac	-2.00665284904e-08	5.35982504191e-08	0.645942073046	1
Thyroid_gland_ENTEX__H3K27ac	-1.67544517478e-08	4.33668048298e-08	0.650378587678	1
Thymus__H3K27ac	-5.44141734908e-08	1.40752883538e-07	0.650471476715	1
Breast_Myoepithelial_Primary_Cells__H3K4me3	-7.2645923112e-08	1.85681699174e-07	0.65218970997	1
Right_Atrium__H3K36me3	-6.32909604758e-08	1.59038151033e-07	0.654670484004	1
Right_Ventricle__H3K36me3	-3.43212000245e-08	8.49108111981e-08	0.656968256182	1
Stomach_ENTEX__H3K4me1	-2.73040484595e-08	6.72555153931e-08	0.657619463869	1
Foreskin_Melanocyte_Primary_Cells_skin01__H3K27ac	-7.02122256592e-08	1.72943116532e-07	0.657623007425	1
Duodenum_Mucosa__H3K4me1	-2.88092692313e-08	7.02153688021e-08	0.659206549475	1
Colonic_Mucosa__H3K4me3	-8.73635350902e-08	2.04010545954e-07	0.665758338244	1
Psoas_Muscle__H3K27ac	-4.08783518235e-08	9.47610815037e-08	0.666905169136	1
SI-Term-Ileum_ENTEX__H3K4me3	-8.123900703e-08	1.87312258139e-07	0.667750104925	1
Pancreas__H3K4me1	-3.56137334203e-08	7.91928975925e-08	0.673539744017	1
Heart-LV_ENTEX__H3K4me3	-8.75617455389e-08	1.93577229423e-07	0.674486147688	1
